,count,is_written_in_last_month,is_written_in_last_week,max_created_utc,referral_utc,sub_comment_index,time_since_last_post
141939,1,False,False,1451741711,1467981131,536,16239420
141952,2,True,True,1464453958,1464456439,550,2481
141957,25,True,False,1477068874,1477917743,556,848869
141986,12,False,False,1465140678,1470806312,562,5665634
142008,1,False,False,1431402756,1451393614,575,19990858
142019,1,True,True,1473330281,1473514832,588,184551
142021,879,True,True,1471021201,1471235175,590,213974
142910,3,True,True,1455064722,1455333436,601,268714
142923,7,True,False,1478624210,1480298695,612,1674485
142934,73058,True,True,1478547638,1478547867,617,229
215993,1,False,False,1427023089,1451984736,619,24961647
215997,5,False,False,1453824988,1479928453,625,26103465
216005,1,True,True,1480826961,1480830401,629,3440
216014,1,True,True,1466411725,1466942365,639,530640
216020,67,True,True,1471774464,1471792291,645,17827
216091,7,True,True,1471947147,1471980786,650,33639
216103,3,True,True,1473100562,1473218995,656,118433
216108,9,True,False,1453983855,1454787998,660,804143
216119,6,True,True,1454425680,1454722388,663,296708
216135,10,True,False,1453315725,1454907708,674,1591983
216148,4,False,False,1420806183,1472407720,678,51601537
216152,1,True,False,1476902613,1477590691,680,688078
216153,2,False,False,1429430173,1466040000,682,36609827
216157,1,False,False,1469660425,1472490367,686,2829942
216158,12,True,False,1448032294,1449589285,687,1556991
216190,91,True,True,1459854217,1459889104,711,34887
216282,7,True,False,1470243553,1471376208,713,1132655
216307,115,True,True,1476630771,1476718949,734,88178
216429,19,True,False,1481598123,1482422369,742,824246
216452,2,True,True,1448992859,1448993503,747,644
216458,4,True,True,1474952002,1474963965,752,11963
216463,1,False,False,1461729960,1468853308,754,7123348
216466,14,True,True,1467258582,1467263211,759,4629
216488,39,True,True,1449028259,1449029994,768,1735
216529,20,True,True,1454835643,1455299241,771,463598
216553,2,False,False,1448899745,1456069183,776,7169438
216556,5,False,False,1457102603,1464358300,778,7255697
216561,7,True,True,1466480129,1466514494,779,34365
216573,5,False,False,1452523961,1455640456,785,3116495
216579,8,True,True,1472601039,1472663525,788,62486
216588,6,True,True,1453710900,1453727718,791,16818
216594,4,True,True,1453267085,1453325521,792,58436
216599,2,True,True,1477418155,1477425246,794,7091
216613,1,True,True,1472046862,1472149588,808,102726
216615,1,True,False,1478387734,1479344383,810,956649
216616,94,True,True,1453460590,1453491220,811,30630
216710,4,True,True,1478314426,1478324503,812,10077
216720,88,True,True,1473607607,1473654925,821,47318
216812,1,True,True,1474484072,1474491527,827,7455
216813,1,True,True,1474484072,1474491527,828,7455
216831,7,False,False,1433424354,1482343581,849,48919227
216839,3,True,True,1476511417,1476858713,851,347296
216851,16,True,True,1471183108,1471356528,861,173420
216875,4,True,True,1466108164,1466117635,871,9471
216882,10,True,True,1451894553,1452290422,875,395869
216895,2,True,True,1473873601,1474193506,879,319905
216904,3,True,True,1473092263,1473111266,888,19003
216909,1,True,True,1474546337,1474555254,891,8917
216918,7,True,True,1451399490,1451399905,902,415
216929,1,True,True,1478268058,1478825788,908,557730
216933,2,False,False,1429375398,1456082472,912,26707074
216949,1,False,False,1440965056,1454268127,927,13303071
216965,5,False,False,1431439455,1459753046,947,28313591
216970,5,False,False,1431439455,1459753046,948,28313591
216976,52,True,True,1463565838,1463918452,950,352614
217035,3,False,False,1461722246,1465583877,960,3861631
217039,1,True,True,1475084937,1475097383,963,12446
217046,1284,True,True,1457289637,1457300360,971,10723
218334,5,True,True,1466487803,1466643093,976,155290
218348,1,False,False,1471305025,1474314649,986,3009624
218364,2,True,False,1461482362,1462510711,1004,1028349
218374,1,False,False,1426588965,1461248000,1019,34659035
218376,1,True,True,1477052328,1477194377,1021,142049
218377,2,True,False,1450751757,1452533236,1023,1781479
218381,102,True,True,1456423855,1456423992,1026,137
218491,18,True,True,1454537852,1454649397,1036,111545
218509,62970,True,True,1468213388,1468215782,1037,2394
281480,9,True,False,1448906973,1449697299,1039,790326
281502,11,True,True,1461072856,1461347388,1056,274532
281513,2,True,False,1454257052,1455473534,1057,1216482
281515,2,True,False,1454257052,1455473534,1058,1216482
281521,53,True,True,1477465294,1477585528,1065,120234
281576,24,True,True,1461343484,1461422417,1068,78933
281600,1925,True,True,1451414665,1451479346,1069,64681
283527,13,False,False,1438856441,1455137318,1075,16280877
283544,2,True,True,1452621186,1452634596,1080,13410
283556,1,True,True,1479674096,1479676461,1093,2365
283559,3,True,True,1464685762,1464957477,1098,271715
283562,1,False,False,1462804000,1472923176,1099,10119176
283565,7,False,False,1455566760,1459940406,1104,4373646
283577,711,True,True,1451749594,1451794997,1111,45403
284288,63,True,True,1476797669,1476967188,1112,169519
284353,1,False,False,1453231169,1460721166,1115,7489997
284356,272,True,True,1451518740,1451542334,1118,23594
284646,1,True,True,1454124118,1454449325,1141,325207
284656,4,True,True,1451681608,1451683794,1151,2186
284666,2,True,False,1467083994,1469342134,1162,2258140
284674,2,False,False,1431475151,1451449160,1171,19974009
284676,8,False,False,1461782224,1467835215,1172,6052991
284688,1,False,False,1446330295,1460481027,1177,14150732
284698,3,True,True,1459694942,1459695367,1188,425
284702,2,True,False,1452061088,1452736413,1190,675325
284704,5,True,False,1480202176,1482126623,1191,1924447
284725,3,True,False,1452594488,1454388655,1210,1794167
284730,233,True,True,1462467798,1462470742,1215,2944
284965,50,True,True,1475373155,1475411577,1218,38422
285016,26,True,False,1475078301,1475899029,1221,820728
285060,3,True,False,1468698372,1469997791,1242,1299419
285066,5,False,False,1447382356,1452263089,1247,4880733
285083,73,True,True,1483022745,1483034134,1266,11389
285162,13,True,True,1472996319,1472997448,1274,1129
285175,2,True,True,1452128981,1452129399,1275,418
285184,54,True,True,1477440830,1477473722,1285,32892
285240,2,False,False,1444033485,1449316748,1288,5283263
285252,14,False,False,1459871231,1462590063,1300,2718832
285271,1,False,False,1448132470,1462669973,1306,14537503
285285,412,True,True,1452416609,1452421091,1322,4482
285697,14,True,True,1479515414,1479565722,1323,50308
285714,122,True,True,1459985722,1460212387,1327,226665
285837,54,True,True,1477440830,1477473674,1330,32844
285902,879,True,True,1482524162,1482525232,1344,1070
286785,2,True,False,1450751757,1452491513,1350,1739756
286788,29,True,True,1451652340,1451771944,1352,119604
286830,58,True,True,1454454997,1454458310,1372,3313
286897,2,True,True,1449338774,1449523777,1382,185003
286908,2,False,False,1466210294,1468842656,1392,2632362
286914,2,False,False,1444326943,1461819482,1398,17492539
286920,73,False,False,1455772682,1463955810,1403,8183128
286993,3,False,False,1453538679,1469219361,1404,15680682
287002,5,True,True,1456329279,1456347342,1411,18063
287007,9,True,True,1452814546,1452858224,1412,43678
287018,1,True,False,1449491023,1450878505,1415,1387482
287019,47,True,True,1451802626,1451975213,1416,172587
287067,22,True,True,1461683251,1462043926,1418,360675
287089,6,True,False,1461248133,1462771094,1419,1522961
287108,2,True,True,1475603736,1475659570,1436,55834
287118,98,True,True,1461938456,1462375484,1445,437028
287217,1,False,False,1433874567,1476375562,1447,42500995
287218,49,True,True,1479162751,1479180831,1448,18080
287275,50,True,True,1463990532,1464176269,1457,185737
287329,4,True,True,1480681638,1480908068,1462,226430
287335,17,True,False,1468002810,1470456434,1465,2453624
287357,35,True,True,1461658570,1461690955,1472,32385
287403,3,False,False,1441987670,1462800198,1485,20812528
287410,36,True,True,1461692218,1461725460,1490,33242
287452,5,True,False,1464064333,1465008285,1497,943952
287459,3,False,False,1440694735,1460557473,1501,19862738
287466,83,True,True,1452563951,1452567273,1507,3322
287555,5,False,False,1434631188,1467290700,1516,32659512
287561,1,True,True,1453897979,1453898308,1518,329
287564,36,True,True,1450933720,1451422379,1522,488659
287600,1,False,False,1450574134,1472606209,1523,22032075
287602,15,True,True,1458643428,1458755199,1525,111771
287618,1,True,True,1482740964,1482807367,1527,66403
287628,1,True,True,1474374994,1474541078,1538,166084
287630,153,True,True,1467371035,1467475364,1540,104329
287783,33,False,False,1456024693,1460780098,1542,4755405
287821,3,False,False,1469661228,1482858899,1548,13197671
287838,56628,True,True,1463158608,1463159121,1564,513
344473,11,False,False,1460437818,1464023077,1572,3585259
344490,3,True,False,1475884753,1476837178,1579,952425
344495,71,True,True,1479450974,1479475762,1582,24788
344568,7,True,True,1451600961,1451606878,1585,5917
344582,4,False,False,1457061519,1465582093,1596,8520574
344591,81,True,True,1482240867,1482334508,1602,93641
344672,9729,True,True,1475173765,1475175383,1603,1618
354403,585,True,True,1455490036,1455542621,1606,52585
354994,1,True,True,1479246989,1479249536,1614,2547
355005,3,True,False,1474987183,1477185092,1627,2197909
355016,3,False,False,1453147471,1456225607,1637,3078136
355028,5,True,True,1454185648,1454474290,1652,288642
355033,5,True,True,1454185648,1454474290,1653,288642
355050,16,False,False,1455396294,1459000380,1668,3604086
355080,12,True,True,1459283506,1459478287,1685,194781
355095,1,False,False,1437579232,1456326782,1691,18747550
355099,5,False,False,1427001518,1456831179,1697,29829661
