,comment_id,treated,nltk_com_sen_pos,nltk_com_sen_neg,nltk_com_sen_neutral,nltk_sub_sen_pos,nltk_sub_sen_neg,nltk_sub_sen_neutral,nltk_title_sen_pos,nltk_title_sen_neg,nltk_title_sen_neutral,nltk_sim_sen,percent_adj,topic_model_0,topic_model_1,topic_model_2,topic_model_3,topic_model_4,topic_model_5,topic_model_6,topic_model_7,topic_model_8,topic_model_9,topic_model_10,topic_model_11,topic_model_12,topic_model_13,topic_model_14,Unnamed: 0_y,submmiter_commenter_tfidf_cos_sim,delta,comment_depth,commenter_number_submission,submitter_number_submission,number_of_comments_in_tree_from_submitter,number_of_respond_by_submitter_total,respond_to_comment_user_responses_ratio,submitter_seniority_days,is_first_comment_in_tree,commenter_number_comment,submitter_number_comment,number_of_comments_in_tree_by_comment_user,number_of_respond_by_submitter,respond_to_comment_user_all_ratio,respond_total_ratio,commenter_seniority_days,time_ratio,comment_len,submission_len,title_len,time_between_messages,time_until_first_comment,time_between_comment_first_comment
10,cz3s8kq,0.0,0.158,0.087,0.754,0.12,0.187,0.693,0.14400000000000002,0.068,0.7879999999999999,0.9885623126775379,0.09502262443438914,0.00034013652475550765,0.00034013669937849045,0.13783669471740725,0.3870558440685272,0.0003401372523512691,0.11572135239839555,0.0003401371941436082,0.00034013655385933816,0.00034013667027466,0.0003401378053240478,0.14627276360988614,0.07384646683931351,0.02972903847694397,0.08212008327245712,0.025036806240677837,10,0.182682960447,1,0,0,1,9,9,0.0,1407,1,3,17,0,0,0.0,0.1153846153846154,1603,0.17209885386819485,2367,4637,150,1.33,961.0,4623.0
11,d2deyki,0.0,0.138,0.017,0.8440000000000001,0.102,0.039,0.86,0.0,0.0,1.0,0.9987167860432192,0.10471204188481677,0.0006666669505648315,0.0006666671251878142,0.0006666695699095727,0.10424535721540452,0.0006666679983027278,0.12197377532720564,0.0006666677072644234,0.0006666679983027278,0.02808556891977787,0.0006666670087724924,0.4107152223587036,0.0006666677654720843,0.016921617090702057,0.0006666671251878142,0.3120584189891815,11,0.09093815009749999,1,0,8,1,0,0,0.0,710,1,366,0,0,0,0.0,0.0,1093,1.0,943,1989,71,0.19,1199.0,0.0
12,d2dgt0n,0.0,0.182,0.054000000000000006,0.763,0.102,0.039,0.86,0.0,0.0,1.0,0.9930087045325134,0.057416267942583726,0.0003436430124565959,0.019739048555493355,0.00034364292514510453,0.08448924124240875,0.00034364280872978265,0.1942176818847656,0.0003436431579757482,0.00802707951515913,0.0003436428669374436,0.0003436438855715096,0.4372670650482178,0.0003436438855715096,0.014987182803452015,0.0003436428669374436,0.2385235577821732,12,0.178401295659,1,2,0,1,2,2,0.5,710,0,325,2,1,1,0.023809523809523808,0.047619047619047616,1699,0.31862875365399945,2047,1989,71,1.02,1199.0,2564.0
13,dtna2ot,1.0,0.115,0.075,0.81,0.136,0.121,0.743,0.111,0.161,0.728,0.9969411076093158,0.06909547738693468,0.00019323699234519157,0.02423551306128502,0.0001932370360009372,0.3079248070716858,0.031163020059466362,0.055043529719114304,0.0001932371815200895,0.030804984271526337,0.06089452654123306,0.017732271924614906,0.2619228661060333,0.08454784750938417,0.004484658129513264,0.067286416888237,0.053379829972982414,13,0.35479803331200005,1,2,2,1,16,16,0.0625,151,0,27,68,1,1,0.014285714285714284,0.22857142857142854,1699,0.028850557166844763,3917,2928,118,3.38,378.0,12724.0
14,ds7la5x,0.0,0.066,0.033,0.9009999999999999,0.091,0.07,0.8390000000000001,0.0,0.0,1.0,0.9983237890122538,0.07,0.5650850534439087,0.0016666719457134604,0.18479099869728088,0.1605909764766693,0.0016666678711771965,0.0016666691517457366,0.0016666706651449206,0.0016666670562699435,0.0016666688024997713,0.0016666721785441039,0.07119965553283691,0.001666668918915093,0.0016666688024997713,0.0016666725277900696,0.0016666707815602422,14,0.5241087173560001,1,0,0,1,0,0,0.0,88,1,488,0,0,0,0.0,0.0,273,0.492822966507177,480,3098,79,0.1,309.0,318.0
15,ds7mtos,0.0,0.09699999999999999,0.025,0.878,0.091,0.07,0.8390000000000001,0.0,0.0,1.0,0.9985152978065841,0.060240963855421686,0.4892116487026215,0.029494116082787517,0.07939587533473969,0.32163628935813904,0.03238052129745484,0.001754390774294734,0.0017543866997584698,0.001754387398250401,0.0017543872818350792,0.0017543925205245616,0.0017543922876939178,0.0017543878639116885,0.0017543879803270102,0.03209200873970985,0.0017543879803270102,15,0.272831350064,1,2,0,1,5,5,0.0,88,1,459,5,0,0,0.0,0.05555555555555555,444,0.12103407755581667,407,3098,79,0.42,309.0,2244.0
16,dupuyz5,0.0,0.047,0.063,0.889,0.133,0.08199999999999999,0.785,0.0,0.281,0.7190000000000001,0.9929330654769316,0.08426966292134831,0.0007936534238979219,0.0007936515030451119,0.30632534623146057,0.4362059235572815,0.0007936527254059911,0.0007936522597447037,0.11150946468114853,0.0007936515030451119,0.0007936526671983303,0.014543917030096052,0.0007936532492749393,0.0007936518522910774,0.12347880750894548,0.0007936519104987383,0.0007936509791761638,16,0.203711824815,1,0,0,1,1,1,0.0,39,1,81,1,0,0,0.0,0.07692307692307693,826,0.2366781333160252,973,2871,79,8.33,7293.0,23521.0
17,dom5a9q,0.0,0.081,0.035,0.884,0.07400000000000001,0.052000000000000005,0.8740000000000001,0.107,0.0,0.893,0.9997800353128056,0.1043956043956044,0.0007246383465826511,0.0007246379391290247,0.0007246388122439383,0.2303878366947174,0.07434117048978807,0.6865753531455994,0.000724638404790312,0.000724638404790312,0.0007246389868669213,0.0007246396271511912,0.0007246397435665131,0.0007246381719596684,0.0007246385212056339,0.0007246385212056339,0.0007246382883749902,17,0.261335318226,1,2,2,2,3,3,0.3333333333333333,169,0,335,8,1,1,0.04166666666666666,0.125,330,0.040182270091135036,887,1156,114,2.4,388.0,9268.0
18,dlm6ap3,0.0,0.075,0.14300000000000002,0.782,0.081,0.134,0.785,0.0,0.18600000000000003,0.8140000000000001,0.9999044588102456,0.06930693069306931,0.0014492759946733713,0.0014492828631773589,0.0014492778573185205,0.047790702432394035,0.0014492765767499804,0.001449278322979808,0.001449276227504015,0.17065861821174622,0.5210329890251161,0.0014492770424112678,0.21675650775432587,0.029268423095345494,0.001449276227504015,0.0014492763439193368,0.0014492766931653025,18,0.19621489642099998,1,6,0,2,3,3,0.6666666666666666,237,0,14,7,3,2,0.038461538461538464,0.0576923076923077,258,0.21841541755888647,487,679,55,0.46,612.0,2190.0
19,dsb0im8,0.0,0.08199999999999999,0.121,0.797,0.126,0.179,0.695,0.0,0.156,0.8440000000000001,0.9923447223177598,0.05737704918032788,0.04241705685853958,0.001388889504596591,0.0013888905523344874,0.001388892880640924,0.03020876459777355,0.12018436938524245,0.4632209837436676,0.09366705268621443,0.0013888913672417402,0.0013888897374272346,0.2378017157316208,0.0013888900866732,0.0013888910179957747,0.0013888916000723839,0.0013888948597013948,19,0.186622582778,1,0,0,1,2,2,0.0,86,1,506,2,0,0,0.0,0.025974025974025976,273,0.2238029146426093,604,1077,56,0.48,645.0,2237.0
